                user     system      total        real
find        9.080000   2.820000  11.900000 ( 12.719397)
Thread ID: 70365856317800
Total: 11.900000

 %self     total     self     wait    child    calls  name
  0.59      0.16     0.07     0.00     0.09    30000  Arel::Compound#engine(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:36}
  0.59      0.38     0.07     0.00     0.31    20004  Integer#times(d1) (ruby_runtime:0}
  0.59      0.07     0.07     0.00     0.00    10001  Regexp#match (ruby_runtime:0}
  0.59      0.61     0.07     0.00     0.54    10007  ActiveRecord::LogSubscriber#sql (/home/miles/c/rails/activerecord/lib/active_record/log_subscriber.rb:8}
  0.59      0.07     0.07     0.00     0.00    40000  ActiveRecord::Relation#reset (/home/miles/c/rails/activerecord/lib/active_record/relation.rb:305}
  0.50      0.06     0.06     0.00     0.00    60002  NilClass#blank? (/home/miles/c/rails/activesupport/lib/active_support/core_ext/object/blank.rb:41}
  0.50      0.06     0.06     0.00     0.00    70008  Module#name (ruby_runtime:0}
  0.50      0.09     0.06     0.00     0.03    20001  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool(d1) (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/connection_pool.rb:353}
  0.50      0.88     0.06     0.00     0.82    10000  ActiveRecord::QueryMethods#build_where (/home/miles/c/rails/activerecord/lib/active_record/relation/query_methods.rb:169}
  0.50      0.74     0.06     0.00     0.68    10000  Arel::Sql::Formatter#quote_table_name (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/formatters.rb:6}
  0.50      0.17     0.06     0.00     0.11    10000  Arel::Relation::Operable#take (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/relation.rb:47}
  0.50      0.13     0.06     0.00     0.07    20000  ActiveRecord::Relation#eager_loading? (/home/miles/c/rails/activerecord/lib/active_record/relation.rb:331}
